obs_ID,observer,year,nest,start_time_video,end_dt,type,partner_present,dt_behaviour,behaviour,who,sex,comments
114,cm,2012,s705,2012-Jun-15 15:09:13,2012-Jun-15 15:38:44,ex,y,2012-Jun-15 15:38:44,c,c,f,
115,cm,2012,s705,2012-Jun-16 02:11:11,2012-Jun-16 02:40:50,ex,n,2012-Jun-16 02:16:01,c,o,f,
115,cm,2012,s705,2012-Jun-16 02:11:11,2012-Jun-16 02:40:50,ex,n,2012-Jun-16 02:16:08,c,o,f,
115,cm,2012,s705,2012-Jun-16 02:11:11,2012-Jun-16 02:40:50,ex,n,2012-Jun-16 02:36:02,c,o,f,
116,cm,2012,s705,2012-Jun-16 10:54:49,2012-Jun-16 11:24:30,ex,n,,n,o,m,
117,cm,2012,s705,2012-Jun-16 20:32:31,2012-Jun-16 21:02:12,ex,n,2012-Jun-16 20:42:42,c,o,f,
117,cm,2012,s705,2012-Jun-16 20:32:31,2012-Jun-16 21:02:12,ex,n,2012-Jun-16 20:50:23,c,o,f,
117,cm,2012,s705,2012-Jun-16 20:32:31,2012-Jun-16 21:02:12,ex,n,2012-Jun-16 20:52:10,c,o,f,
117,cm,2012,s705,2012-Jun-16 20:32:31,2012-Jun-16 21:02:12,ex,n,2012-Jun-16 20:52:14,c,o,f,
117,cm,2012,s705,2012-Jun-16 20:32:31,2012-Jun-16 21:02:12,ex,n,2012-Jun-16 20:52:18,c,o,f,
117,cm,2012,s705,2012-Jun-16 20:32:31,2012-Jun-16 21:02:12,ex,n,2012-Jun-16 20:52:22,c,o,f,
117,cm,2012,s705,2012-Jun-16 20:32:31,2012-Jun-16 21:02:12,ex,n,2012-Jun-16 20:52:28,c,o,f,
117,cm,2012,s705,2012-Jun-16 20:32:31,2012-Jun-16 21:02:12,ex,n,2012-Jun-16 21:01:33,c,o,f,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 06:44:52,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 06:44:56,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 06:51:08,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 06:51:10,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 06:51:14,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 06:51:17,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 06:53:09,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 07:04:53,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 07:05:03,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 07:05:05,c,o,m,
118,cm,2012,s705,2012-Jun-17 06:43:01,2012-Jun-17 07:12:35,ex,n,2012-Jun-17 07:06:06,c,o,m,
119,cm,2012,s705,2012-Jun-13 23:45:49,2012-Jun-14 00:15:38,non,n,2012-Jun-13 23:45:51,c,o,f,
119,cm,2012,s705,2012-Jun-13 23:45:49,2012-Jun-14 00:15:38,non,n,2012-Jun-13 23:46:25,c,o,f,
